animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
243,6633246,US DD1803,107,2026-04-01,104.7,456,21.55,0.42,0,4,1.23,19,2,-5.95,Voice Agent Report Historical 4.2.1.csv
244,6632803,US DD1810,218,2026-04-01,75.4,359,17.44,0.28,0,3,1.38,419,1,-7.05,Voice Agent Report Historical 4.2.1.csv
245,6634963,US DD1811,165,2026-04-01,,216,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
246,3086605,DD1411,441,2026-04-01,,585,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
247,6641939,US DD1649,8,2026-04-01,52.5,465,9.18,0.28,2,3,0.99,,10,9.04,Voice Agent Report Historical 4.2.1.csv
248,6635044,US DD1816,321,2026-04-01,78.9,493,15.83,0.25,0,3,1.29,3182,1,-6.61,Voice Agent Report Historical 4.2.1.csv
250,6635110,DD1500,238,2026-04-01,55.1,533,12.13,0.19,0,2,1.34,,0,-1.98,Voice Agent Report Historical 4.2.1.csv
252,6641942,US DD1617,7,2026-04-01,39.5,434,9.38,0.35,0,3,1.48,,9,10.14,Voice Agent Report Historical 4.2.1.csv
253,6634702,US DD1821,460,2026-04-01,54.9,417,14.11,0.18,0,3,1.21,,4,-3.75,Voice Agent Report Historical 4.2.1.csv
255,6635055,US DD1603,133,2026-04-01,70.3,529,19.12,0.38,0,3,1.23,,0,-4.63,Voice Agent Report Historical 4.2.1.csv
256,6634673,US DD1824,175,2026-04-01,115.1,616,19.76,0.4,0,4,1.35,,0,-0.44,Voice Agent Report Historical 4.2.1.csv
257,6634640,US DD1648,,2026-04-01,0,307,,,0,2,,,6,0,Voice Agent Report Historical 4.2.1.csv
258,6641953,US DD1826,351,2026-04-01,,634,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
260,6634655,US DD1828,181,2026-04-01,50,279,6.67,6.64,0,1,1.31,,0,-22.71,Voice Agent Report Historical 4.2.1.csv
261,6634657,US DD1829,130,2026-04-01,115.5,564,20,0.29,0,3,1.32,102,0,-2.43,Voice Agent Report Historical 4.2.1.csv
262,6634652,DD1537,279,2026-04-01,59.3,488,6.7,2.33,0,1,1.22,,1,1.76,Voice Agent Report Historical 4.2.1.csv
263,6634659,US DD1573,145,2026-04-01,39.2,421,10.93,0.95,0,2,1.11,,0,1.1,Voice Agent Report Historical 4.2.1.csv
264,6633230,US DD1560,267,2026-04-01,54.9,473,13.33,0.3,0,2,1.31,,0,-2.2,Voice Agent Report Historical 4.2.1.csv
265,6641319,US DD1650,8,2026-04-01,58.2,534,10.58,0.23,0,4,0.93,,8,9.26,Voice Agent Report Historical 4.2.1.csv
