"","","Attention","","","","","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness","Sick Chance","Activity","Disease Name","Lactation day category"
"192","3543451","Conductivity RR<br/>Mastitis RR<br/>","157   <br/> <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/>","","","Vaccination of pregnant cows","IV"
"210","6632735","","","","","","Female infertility","V"
"131","3087351","Milk Temperature<br/>Milk Drop<br/>","103.1  <br/>-8.5  <br/>","<span style='width:25%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>","","","Metritis","I"
"138","3086806","Activity(rumination)<br/>","76    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/>","x","","Female infertility","V"
"121","3087395","","","","","","BRSV vaccination","I"
"1272","","","","","","","",""
"1274","","","","","","","",""
"217","6634709","Fat Protein Ratio<br/>","0.98  <br/>","<span style='width:25%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","I"
"67","3086685","Fat Protein Ratio<br/>","1.01  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","","I"
"1276","","","","","","","",""
"218","6632897","","","","","","BRSV vaccination","II"
"223","6632661","","","","","","Female infertility","V"
"1278","","","","","","","",""
"1279","","","","","","","",""
"1277","","","","","","","",""
"1280","","","","","","","Behavioral disorders and general findings",""
"227","6632644","","","","","","Female infertility","V"
"236","6632625","","","","","","Mastitis vaccination","I"
"4","3086632","Activity(rumination)<br/>","76    <br/>","<span style='width:100%'class='severnesslinebar'></span><br/>","x","","Vaccinations","I"
"1283","","","","","","","",""
"52","3087406","Fat Protein Ratio<br/>","0.99  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/>","","","Metritis","I"
"1284","","","","","","","",""
"113","3087337","","","","","","","I"
"1287","","","","","","","",""
"1288","","","","","","","Female infertility",""
"266","6640786","","","","","","","I"
"226","6634736","","","","","","Behavioral disorders and general findings","V"
"1290","","","","","","","",""
"1291","","","","","","","",""
"1292","","","","","","","Female infertility",""
"3","3086603","Fat Protein Ratio<br/>","1.03  <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","","I"
"1294","","","","","","","Behavioral disorders and general findings",""
"184","3183423","","","","","","Metritis","I"
"105","3087401","Milk Temperature<br/>","103.6  <br/>","<span style='width:43%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","III"
"163","3352744","Fat Protein Ratio<br/>","0.91  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/>","","","Mastitis vaccination","I"
"12","3086327","Fresh cow performance<br/>Rest Feed<br/>","48    <br/>52    <br/>","<span style='width:50%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/>","x","","","I"
"144","3087427","Fat Protein Ratio<br/>","0.97  <br/>","<span style='width:25%'class='severnesslinebar'></span><br/>","","","Mastitis vaccination","I"
"1299","","","","","","","Female infertility",""
"145","3086699","Fat Protein Ratio<br/>","0.86  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/>","","","","I"
"128","3087160","","","","","","Vaccinations","V"
"1301","","","","","","","Female infertility",""
"146","3087034","Fat Protein Ratio<br/>","1.04  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","Mastitis vaccination","I"
