"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.0","26.5","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"10","","","US DD1571","1","272","56.0","Pregnant","MITCHELL sexed","2025-09-07","","218","2","2026-06-14","In Lactation","","27.3","56.0","0","x","","2025-07-15","3086174"
"263","","","US DD1573","1","157","34.2","Open Cyclic","BOLDNESS SEXED","2026-02-09","","","","","In Lactation","x","5.1","34.2","0","x","","2025-11-07","6634659"
"99","","","US DD1585","1","249","53.4","Pregnant","BEETHOVEN SEXED","2025-10-12","","183","37","2026-07-19","In Lactation","","21.6","53.4","1","x","","2025-08-07","3352005"
"185","","","US DD1586","1","245","54.0","Pregnant","GIANT","2025-12-24","","110","110","2026-09-30","In Lactation","x","1.3","54.0","2","x","","2025-08-11","3087303"
"1219","","","US DD1589","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-06",""
"1220","","","US DD1590","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-07-22","","265","","2026-04-28","Young Stock","","","0.0","","","","2023-06-10",""
"1222","","","US DD1600","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-18",""
"1223","","","US DD1601","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-18",""
"90","","","DD1599","1","13","54.5","Open","","","","","","","In Lactation","","14.8","54.5","0","x","","2026-03-31","3087156"
"13","","","US DD1602","3","222","52.5","Inseminated","POWERHOUSE -SEXED","2026-02-09","x","","","","In Lactation","x","1.1","52.5","0","x","","2025-09-03","3086569"
"255","","","US DD1603","1","145","58.0","Inseminated","CHAROLAIS BLEND 4","2026-04-11","","","","","In Lactation","","22.9","58.0","0","x","","2025-11-19","6635055"
"147","","","US DD1604","2","619","32.4","Pregnant","ANGUS BLEND 17","2025-12-06","","128","92","2026-09-12","In Lactation","","20.9","32.4","0","x","","2024-08-02","3086154"
"1226","","","US DD1605","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-24",""
"156","","","US DD1607","3","240","71.2","Inseminated","POWERHOUSE -SEXED","2026-02-09","x","","","","In Lactation","x","10.1","71.2","0","x","","2025-08-16","3085889"
"88","","","US DD1608","1","19","59.1","Open","","","","","","","In Lactation","","13.4","59.1","0","x","","2026-03-25","3087586"
"86","","","US DD1610","1","290","43.9","Pregnant","SMITTEN SEXED","2025-09-08","","217","3","2026-06-15","In Lactation","","22.0","43.9","0","x","","2025-06-27","3087212"
"109","","","US DD1611","1","253","49.8","Inseminated","ANGUS BLEND 17","2026-03-27","","","","","In Lactation","","22.0","49.8","0","x","","2025-08-03","3353222"
"1230","","","US DD1614","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-07-05",""
"252","","","US DD1617","1","19","70.5","Open","","","","","","","In Lactation","","19.0","70.5","0","x","","2026-03-25","6641942"
"1234","","","US DD1619","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-07-30",""
"1236","","","US DD1621","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-14",""
"1237","","","US DD1622","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-19",""
"1238","","","US DD1623","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-08-22",""
"346","","","US DD1625","1","23","65.5","Open","","","","","","","In Lactation","","28.2","65.5","0","x","","2026-03-21","3183472"
"1242","","","US DD1630","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-01","","255","","2026-05-08","Young Stock","","","0.0","","","","2023-08-28",""
"1243","","","US DD1629","","","0.0","Pregnant","Anderson Bull 3-25-2025","2026-01-24","","79","","2026-10-31","Young Stock","","","0.0","","","","2023-08-30",""
"1245","","","US DD1633","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-11","","245","","2026-05-18","Young Stock","","","0.0","","","","2023-09-07",""
"204","","","US DD1634","1","14","66.6","Open","","","","","","","In Lactation","","18.5","66.6","0","x","","2026-03-30","5925507"
"1247","","","US DD1635","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-07-12","","275","","2026-04-18","Young Stock","","","0.0","","","","2023-09-17",""
"1248","","","US DD1636","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-01","","255","","2026-05-08","Young Stock","","","0.0","","","","2023-09-17",""
"1249","","","US DD1637","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-10-30","","165","","2026-08-06","Young Stock","","","0.0","","","","2023-09-21",""
"1250","","","US DD1638","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-08-01","","255","","2026-05-08","Young Stock","","","0.0","","","","2023-09-23",""
"1251","","","US DD1639","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-09-26",""
